date,link,title,content,author,label,category
23/07/2568 10:00:39,https://www.antifakenewscenter.com/?p=74610,กระทรวงกลาโหม จัดประชุม GBC เซ็นสัญญายอมให้ทหารกัมพูชาเข้ามาประจำการที่ปราสาทตาเมือนธม,"ก่อนแชร์ต่อ อย่าลืมเช็ก ตามที่กองบัญชาการกองทัพไทย ได้ออกมาให้ข้อมูลว่า การประชุมคณะกรรมการชายแดนทั่วไป (GBC) ไทย-กัมพูชา ครั้งที่ 17 เมื่อวันที่ 1 พฤษภาคม 2568 ซึ่งมี รองนายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหมของไทย กับ รองนายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม กัมพูชา เป็นประธานร่วมในการประชุมฯ มีวัตถุประสงค์เพื่อส่งเสริมความร่วมมือด้านความสงบเรียบร้อยและความมั่นคงปลอดภัยในพื้นที่ชายแดน โดยไม่ได้มีการเซ็นสัญญายินยอมให้ทหารกัมพูชาเข้ามาประจำการที่ปราสาทตาเมือนธม ตามที่แชร์กันในสื่อสังคมออนไลน์แต่อย่างใด
 
 
 
 
 
 
 
 แค่การแชร์ อาจก่อให้เกิดอันตรายได้",กองบัญชาการกองทัพไทย กระทรวงกลาโหม,ข่าวบิดเบือน,ความสงบและความมั่นคง
23/07/2568 09:00:20,https://www.antifakenewscenter.com/?p=74581,"OR ชวนร่วมเป็นเจ้าของกิจการ ลงทุนหุ้น IPO เริ่มต้น 1,000 บาท ปันผล 290 บาทต่อวัน","จากที่มีการโฆษณาระบุเปิดให้ลงทุนหุ้น IPO ข้างต้นนั้น ไม่เป็นความจริง เนื่องจาก OR หรือ บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน) ไม่ได้มีส่วนเกี่ยวข้องกับการดำเนินการดังกล่าว รวมถึงไม่มีนโยบายเสนอขายหุ้น และไม่ได้มีส่วนเกี่ยวข้องกับการจัดทำการประชาสัมพันธ์เพื่อเชิญชวนให้ลงทุนในลักษณะนี้แต่อย่างใด
 
 
 
 
 
 
 
 ขอให้ประชาชนมีสติในการรับข้อมูลข่าวสาร และใช้ความระมัดระวังในการลงทุนผ่านช่องทางต่าง ๆ สำหรับผู้สนใจข้อมูลเกี่ยวกับ OR เพื่อประกอบการพิจารณาลงทุนสามารถศึกษาข้อมูลเพิ่มเติมได้จากลิงก์ https://investor.pttor.com/th/home
 
 
 
 เช็กให้ชัวร์ ก่อนลงทุนออนไลน์",บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน) กระทรวงพลังงาน,ข่าวปลอม,การเงิน-หุ้น
23/07/2568 08:00:51,https://www.antifakenewscenter.com/?p=74577,กระทรวงยุติธรรม เปิดเพจเฟซบุ๊กชื่อ Technology Crime Suppression Center,"ระวังเพจปลอมแอบอ้างหน่วยงาน เพจเฟซบุ๊กชื่อ Technology Crime Suppression Center ไม่ใช่เพจของกระทรวงยุติธรรม มีลักษณะเป็นการแอบอ้างเพื่อสร้างความน่าเชื่อถือให้เสมือนเป็นเพจของกระทรวงยุติธรรมจริง ซึ่งเป็นการหลอกลวงประชาชนและเป็นการนําเสนอข้อมูลที่ไม่เป็นความจริง โดยกระทรวงยุติธรรมมีเพจเฟซบุ๊กเดียวเท่านั้น คือ กระทรวงยุติธรรม Ministry Of Justice, Thailand (https://www.facebook.com/mojthofficial)
 
 
 
 
 
 
 
 แชร์อย่างมีสติ ตรวจสอบก่อนส่งต่อ",สำนักงานปลัดกระทรวงยุติธรรม กระทรวงยุติธรรม,ข่าวปลอม,นโยบายรัฐบาล-ข่าวสาร
23/07/2568 07:00:51,https://www.antifakenewscenter.com/?p=74573,"หุ้น OKJ เปิดเทรดวันแรก ราคาเปิดพอร์ตเริ่มต้น 1,000 บาท แนะนำโดยผู้บริหารตลาดหลักทรัพย์ฯ","เช็กข้อมูลให้ชัวร์ก่อนติดตาม เพจ “OH KAD” เป็นเพจปลอมที่ได้มีการแอบอ้างใช้ภาพผู้บริหารตลาดหลักทรัพย์แห่งประเทศไทย (SET) ไปใช้โดยไม่ได้รับอนุญาต โดยที่ตลาดหลักทรัพย์ฯ ไม่มีส่วนเกี่ยวข้องใด ๆ กับเพจดังกล่าว คาดว่า เป็นการกระทำของมิจฉาชีพที่สร้างเพจปลอมขึ้นมาเพื่อหวังหลอกลวงประชาชน ขอเตือนประชาชนอย่าหลงเชื่อเพจปลอม และโซเชียลมีเดียต่าง ๆ ที่มีการแอบอ้างชื่อและโลโก้ตลาดหลักทรัพย์ฯ เพื่อชักชวนให้เข้าเรียนหรือรับข้อมูลการลงทุน
 
 
 
 
 
 
 
 หากมีข้อสงสัยสามารถสอบถามโดยตรงได้ที่ SET Contact Center 0 2009 9999 หรืออีเมล SETContactCenter@set.or.th
 
 
 
 เพจแอบอ้าง อย่าหลงเชื่อลงทุนหรือให้ข้อมูลส่วนตัว",ตลาดหลักทรัพย์แห่งประเทศไทย,ข่าวปลอม,การเงิน-หุ้น
23/07/2568 06:30:23,https://www.antifakenewscenter.com/?p=74569,"กรุงไทย เปิดให้จองสิทธิ์ยืมเงิน 100,000 บาท ลงทะเบียนได้ที่ TikTok ktb.thai","การปล่อยสินเชื่อ บนบัญชี TikTok ชื่อ ktb.thai เป็นบัญชีปลอม เพราะไม่ใช่บัญชีของธนาคารกรุงไทย เป็นการแอบอ้างใช้โลโก้ของธนาคารกรุงไทยโดยไม่ได้รับอนุญาต ขอประชาชนอย่าหลงเชื่อ และธนาคารไม่มีนโยบายปล่อยสินเชื่อผ่านบัญชี TikTok แต่อย่างใด หากพบเห็นการโฆษณาปล่อยสินเชื่อในลักษณะนี้ ขอให้สันนิษฐานไว้ก่อนว่า เป็นมิจฉาชีพ
 
 
 
 
 
 
 
 ระวัง! มิจฉาชีพแอบอ้างปล่อยสินเชื่อ",ธนาคารกรุงไทย กระทรวงการคลัง,ข่าวปลอม,การเงิน-หุ้น
23/07/2568 04:30:00,https://www.antifakenewscenter.com/?p=74565,เข้าห้องน้ำก่อนปวด เสี่ยงกระเพาะปัสสาวะพัง,"การเข้าห้องน้ำก่อนปวดปัสสาวะ จะทำให้เสี่ยงกระเพาะปัสสาวะพัง เป็นคำพูดที่เกินจริงบิดเบือนไป เนื่องจากเมื่อเราปัสสาวะก่อนถึงจุดที่ร่างกายควรจะรู้สึกปวดจริง ๆ กระเพาะปัสสาวะจะเริ่มส่งสัญญาณเตือนสมองเร็วขึ้นเรื่อย ๆ ส่งผลให้ระยะเวลาที่สามารถกลั้นปัสสาวะได้ลดลง และอาจทำให้รู้สึกปวดบ่อยขึ้น แม้กระเพาะปัสสาวะยังไม่ถึงจุดที่ต้องปัสสาวะ
 
 
 
 
 
 
 
 การกระทำข้างต้นถือเป็นการทำให้เกิดความเสี่ยง เนื่องจากเป็นพฤติกรรมที่ไม่ดีในการเข้าห้องน้ำบ่อย แต่ไม่น่ากลัวหรืออันตรายเท่ากับการกลั้นปัสสาวะ การกินน้ำเปล่า สะอาด ให้พอดีในปริมาณที่เหมาะสมจะมีส่วนช่วยในการรักษาสุขภาพของกระเพาะปัสสาวะได้
 
 
 
 หยุดพฤติกรรมรีบแชร์โดยไม่เช็ก เพื่อลดความเข้าใจผิด",กรมอนามัย กระทรวงสาธารณสุข,ข่าวบิดเบือน,ผลิตภัณฑ์สุขภาพ
23/07/2568 03:30:03,https://www.antifakenewscenter.com/?p=74561,ก.ล.ต. เปิดเว็บไซต์ให้ผู้ลงทุนสะสมคะแนน,"ดูให้ดี เช็กให้ชัวร์ เนื่องจากมิจฉาชีพได้นำโลโก้ของ ก.ล.ต. ไปแอบอ้างใช้ประกอบบนเว็บไซต์ เพื่อสร้างความน่าเชื่อถือให้ผู้ลงทุนสนใจสมัครเข้าลงทุน ซึ่ง ก.ล.ต. ขอยืนยันว่า ไม่ได้มีส่วนเกี่ยวข้องแต่อย่างใด
 
 
 
 จึงขอให้ประชาชนใช้ความระมัดระวังในการลงทุน ควรศึกษาข้อมูลให้ดีก่อนทุกครั้ง โดยสามารถตรวจสอบรายชื่อผู้ที่ชักชวน/ผู้ให้บริการ ว่าได้รับอนุญาตจากสำนักงาน ก.ล.ต. หรือไม่ ได้ที่เว็บไซต์ www.sec.or.th/seccheckfirst หรือ ติดต่อสอบถามข้อมูลได้ที่สายด่วน โทร. 1207 กด 22
 
 
 
 
 
 
 
 ระวัง! กลลวงร้อยแปดหลอกลงทุนจากมิจฉาชีพ",สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์,ข่าวปลอม,การเงิน-หุ้น
23/07/2568 02:35:56,https://www.antifakenewscenter.com/?p=74600,ฝนตก ยุงกัด รวม 5 วิธีป้องกันยุงลายหลีกเลี่ยงไข้เลือดออก,"ฤดูฝนนอกจากจะพาน้ำฝนมาถึงบ้านแล้ว ยังพกยุงลายมาด้วยอีกต่างหาก ซึ่งยุงลายก็พกไข้เลือดออกมาอีกต่อหนึ่ง ควรป้องกันตัวเองจากไข้เลือดออก เพื่อสุขภาพที่ดีของตัวเอง และคนรอบตัวที่อยู่ในบ้าน
 
 
 
 - นอนให้ห้องที่มีมุ้งลวดหรือมุ้ง
 
 - อยู่ในห้องที่มีแสงสว่างทั่วถึง
 
 - ไม่อยู่ในมุมมืดหรือบริเวณที่ไม่มีลมพัดผ่าน
 
 - เปลี่ยนน้ำในแจกันเพื่อป้องกันยุงเพาะพันธุ์
 
 - ระวังไม่ให้มีพื้นที่หรือภาชนะที่มีน้ำขังใกล้ตัวบ้าน",สถาบันสุขภาพเด็กแห่งชาติมหาราชินี,คลังความรู้,คลังความรู้
23/07/2568 02:07:21,https://www.antifakenewscenter.com/?p=74555,ตัดวงจร #อาชญากรรมออนไลน์ 23 กรกฎาคม 2568,"เพจปลอมต้องระวัง
 
 
 
 1. เพจปลอม ""ญานิดา"" หลอกลวง ทำใบขับขี่ออนไลน์
 
 https://www.facebook.com/story.php?story_fbid=122105173976897549&amp;id=61576926493993&amp;rdid=MXWD7beuADjaBhDR#
 
 
 
 2. เพจปลอม ""Prime App"" หลอกลวง สินเชื่อออนไลน์
 
 https://www.facebook.com/ads/library/?id=1099086715351303
 
 
 
 3. เพจปลอม ""Taylor-Banks Frannie Hernandez"" หลอกลวง สินเชื่อออนไลน์
 
 https://www.facebook.com/ads/library/?id=646408244980558
 
 
 
 4. เพจปลอม ""Dreamloan"" หลอกลวง สินเชื่อออนไลน์
 
 https://www.facebook.com/ads/library/?id=1245379137151093
 
 
 
 5. เพจปลอม ""Simple App Studio"" หลอกลวง สินเชื่อออนไลน์
 
 https://www.facebook.com/ads/library/?id=1703067727303073
 
 
 
 ปลอมแน่..กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม (ดีอี) ยืนยัน!",ศูนย์ต่อต้านข่าวปลอมประเทศไทย,อาชญากรรมออนไลน์,อาชญากรรมออนไลน์
22/07/2568 12:54:45,https://www.antifakenewscenter.com/?p=74596,เตรียมรับมือ พายุวิภา เข้าไทย ศูนย์กลางผ่าน จ.น่าน ทำภาคเหนือ อีสาน กลาง เสี่ยงน้ำท่วม,"อย่าเพิ่งด่วนสรุป กรณีเกี่ยวกับประเด็นข้างต้นนั้น เป็นการให้ข้อมูลที่ไม่ได้มีที่มาจากกรมอุตุนิยมวิทยา และเป็นข้อความที่มาจากบุคคลที่ไม่มีหน้าที่รับผิดชอบหรือหน่วยงานที่แจ้งเตือนภัยธรรมชาติโดยตรง อาจทำให้เกิดความเข้าใจที่คลาดเคลื่อนได้
 
 
 
 
 
 
 
 ทั้งนี้ จากการติดตามและคาดการณ์ของกรมอุตุนิยมวิทยานั้น จุดแกนกลางพายุ วิภา ในขณะนี้มีศูนย์กลางอยู่บริเวณเมืองท้ายบิ่ญ ประเทศเวียดนาม ซึ่งมีแนวโน้มจะอ่อนกำลังลงเป็นพายุดีเปรสชันและหย่อมความกดอากาศต่ำตามลำดับ โดยหย่อมความกดอากาสต่ำนี้มีแนวโน้มจะเคลื่อนตัวตามแนวร่องมรสุมที่พาดผ่านประเทศลาวตอนบน ภาคเหนือตอนบน และประเทศเมียนมา
 
 
 
 เตือนภัยให้เร็วไว ข้อมูลนี้มั่นใจเชื่อถือได้",กรมอุตุนิยมวิทยา กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ข่าวปลอม,ภัยพิบัติ
