Index,ข่าวที่ไม่สำเร็จ,หัวข้อข่าว,ประเภทข่าว,หมวดหมู่ของข่าว,Filled_Date
125,29/12/2568,ตรวจพบอากาศยานไร้คนขับจากฝั่งกัมพูชา บินล้ำเข้ามาฝั่งไทยกว่า 250 ลำ เข้าข่ายละเมิดมาตรการลดระดับตามข้อตกลง GBC,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
134,17/12/2568,ทหารไทยเข้ายึดคืนพื้นที่ช่องอานม้าได้สำเร็จ,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
155,14/12/2568,กัมพูชาใช้โดรนทิ้งระเบิดในพื้นที่บ้านหนองหญ้าแก้ว ชายแดนสระแก้ว 4 อำเภอ เปิดศูนย์พักพิงชั่วคราว,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
174,30/12/2568,กรมอุทยานฯ ประกาศยกเว้นค่าเข้าอุทยานแห่งชาติ วนอุทยาน สวนพฤกษศาสตร์ และสวนรุกขชาติ ตั้งแต่วันที่ 31 ธ.ค. 68 – 4 ม.ค. 69,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
193,01/01/2569,การรถไฟฯ สนับสนุนภารกิจ ส่งตู้คอนเทนเนอร์ตั้งแนวกั้นพรมแดนไทย–กัมพูชา,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
200,07/01/2569,ธอส. ออกมาตรการช่วยเหลือประชาชนชายแดนไทย–กัมพูชา,ข่าวจริง,การเงิน-หุ้น,2023-07-20 07:15:03.500
320,23/12/2568,กัมพูชาใช้ BM-21 โจมตีใส่พื้นที่พลเรือน บ้านหนองเสม็ด จ.สระแก้ว เมื่อวันที่ 22 ธ.ค. 68,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
470,25/12/2568,กระทรวงกลาโหมได้รับหนังสือขอเจรจาหยุดยิงตามกลไก GBC จากกัมพูชา,ข่าวจริง,ความสงบและความมั่นคง,2023-07-20 07:15:03.500
581,31/12/2568,ไทย-จีน-กัมพูชา หารือไตรภาคี สร้างสันติภาพและปราบปรามอาชญากรรมข้ามแดน,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
661,14/12/2568,"เปิดขั้นตอนการยื่นรับเงินสงเคราะห์บุตรอัตราใหม่ จำนวน 1,000 บาท",ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,2023-07-20 07:15:03.500
