date,content,author,label,category,label_binary
2568-07-23 00:00:00,"OR ชวนร่วมเป็นเจ้าของกิจการ ลงทุนหุ้น IPO เริ่มต้น 1,000 บาท ปันผล 290 บาทต่อวัน",บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน) กระทรวงพลังงาน,ข่าวปลอม,การเงิน-หุ้น,fake
2568-07-23 00:00:00,กระทรวงยุติธรรม เปิดเพจเฟซบุ๊กชื่อ Technology Crime Suppression Center ระวัง,สำนักงานปลัดกระทรวงยุติธรรม กระทรวงยุติธรรม,ข่าวปลอม,นโยบายรัฐบาล-ข่าวสาร,fake
2568-07-23 00:00:00,"หุ้น OKJ เปิดเทรดวันแรก ราคาเปิดพอร์ตเริ่มต้น 1,000 บาท แนะนำโดยผู้บริหารตลาดหลักทรัพย์ฯ เช็กข้อมูลให้ชัวร์ก่อนติดตาม เพจ “OH KAD” เป็น",ตลาดหลักทรัพย์แห่งประเทศไทย,ข่าวปลอม,การเงิน-หุ้น,fake
2568-07-23 00:00:00,"กรุงไทย เปิดให้จองสิทธิ์ยืมเงิน 100,000 บาท ลงทะเบียนได้ที่ TikTok ktb.thai การปล่อยสินเชื่อ บนบัญชี TikTok ชื่อ ktb.thai",ธนาคารกรุงไทย กระทรวงการคลัง,ข่าวปลอม,การเงิน-หุ้น,fake
2568-07-23 00:00:00,ก.ล.ต. เปิดเว็บไซต์ให้ผู้ลงทุนสะสมคะแนน ดูให้ดี เช็กให้ชัวร์,สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์,ข่าวปลอม,การเงิน-หุ้น,fake
2568-07-23 00:00:00,"ฝนตก ยุงกัด รวม 5 วิธีป้องกันยุงลายหลีกเลี่ยงไข้เลือดออก ฤดูฝนนอกจากจะพาน้ำฝนมาถึงบ้านแล้ว ยังพกยุงลายมาด้วยอีกต่างหาก ซึ่งยุงลายก็พกไข้เลือดออกมาอีกต่อหนึ่ง ควรป้องกันตัวเองจากไข้เลือดออก เพื่อสุขภาพที่ดีของตัวเอง และคนรอบตัวที่อยู่ในบ้าน
 
 
 
 - นอนให้ห้องที่มีมุ้งลวดหรือมุ้ง
 
 - อยู่ในห้องที่มีแสงสว่างทั่วถึง
 
 - ไม่อยู่ในมุมมืดหรือบริเวณที่ไม่มีลมพัดผ่าน
 
 - เปลี่ยนน้ำในแจกันเพื่อป้องกันยุงเพาะพันธุ์
 
 - ระวังไม่ให้มีพื้นที่หรือภาชนะที่มีน้ำขังใกล้ตัวบ้าน",สถาบันสุขภาพเด็กแห่งชาติมหาราชินี,คลังความรู้,คลังความรู้,true
2568-07-22 00:00:00,เตรียมรับมือ พายุวิภา เข้าไทย ศูนย์กลางผ่าน จ.น่าน ทำภาคเหนือ อีสาน กลาง เสี่ยงน้ำท่วม อย่าเพิ่งด่วนสรุป กรณีเกี่ยวกับประเด็นข้างต้นนั้น เป็นการให้ข้อมูลที่ไม่ได้มีที่มาจากกรมอุตุนิยมวิทยา และเป็นข้อความที่มาจากบุคคลที่ไม่มีหน้าที่รับผิดชอบหรือหน่วยงานที่,กรมอุตุนิยมวิทยา กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ข่าวปลอม,ภัยพิบัติ,fake
2568-07-22 00:00:00,วันที่ 23 ก.ค. 68 จะเกิดปรากฏการณ์ Red Rain ถล่ม อ.เมือง จ.เชียงราย นานถึง 40 ชม. ข้อมูลข้างต้น,กรมอุตุนิยมวิทยา กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ข่าวปลอม,ภัยพิบัติ,fake
2568-07-22 00:00:00,"ออมสินเปิดสินเชื่อให้ยืม ผ่านเพจ LEASE it PCL 3897 วงเงินสูงสุด 1,000,000 บาท",ธนาคารออมสิน กระทรวงการคลัง,ข่าวปลอม,การเงิน-หุ้น,fake
2568-07-22 00:00:00,"กยศ. เร่งคืนเงินให้ผู้กู้ยืมที่ถูกหักเงินซ้ำซ้อน กรณีที่มีเรื่องร้องเรียนจากผู้กู้ยืมที่ถูกหักเงินในบัญชีเงินฝากออมทรัพย์เมื่อวันที่ 18 กรกฎาคม 2568 ซึ่งผู้กู้ยืมบางรายได้ชําระหนี้ปกติตามงวดรายปีหรือชําระหนี้เกินกว่างวดที่ต้องชําระแล้วนั้น กยศ. ได้ตรวจสอบสาเหตุพบว่า เกิดจากความคลาดเคลื่อนของระบบการคํานวณหนี้ใหม่ การหักบัญชีเงินฝากของผู้กู้ยืมเงินเพื่อชําระเงินคืนแบบอัตโนมัติ (Auto Debit) เฉพาะผู้กู้ยืมที่ กยศ. คํานวณหนี้ใหม่แล้วยังมียอดหนี้ค้างชําระ
 
 
 
 
 
 
 
 โดยระบบได้ดําเนินการหักเงินตามยอดหนี้ที่คํานวณคลาดเคลื่อนนั้น ส่งผลให้เกิดการหักซ้ําซ้อนในบางราย หรือหักเงินเกินยอดที่จะต้องชําระ ทั้งนี้ กยศ. จะเร่งดําเนินการคืนเงินที่หักเกินพร้อมคืนค่าธรรมเนียมการโอนเงินเข้าบัญชีเดิมของผู้กู้ยืม โดยอัตโนมัติให้เร็วที่สุด (ภายใน 3 วัน) หลังจากได้รับการตรวจสอบร่วมกับผู้พัฒนาระบบแล้ว และขอให้ความมั่นใจว่า จะดําเนินการอย่างถี่ถ้วน เพื่อไม่ให้ผู้ที่ได้รับผลกระทบในครั้งนี้ต้องเสียประโยชน์ พร้อมหาเครื่องมือมาช่วยในการตรวจสอบข้อมูลเพื่อป้องกันไม่ให้เกิดเหตุการณ์ดังกล่าวขึ้นอีก",กองทุนเงินให้กู้ยืมเพื่อการศึกษา (กยศ.) กระทรวงการคลัง,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,true
