date,link,title,content,author,label,category,label_binary
23/07/2568 09:00:20,https://www.antifakenewscenter.com/?p=74581,"OR ชวนร่วมเป็นเจ้าของกิจการ ลงทุนหุ้น IPO เริ่มต้น 1,000 บาท ปันผล 290 บาทต่อวัน","จากที่มีการโฆษณาระบุเปิดให้ลงทุนหุ้น IPO ข้างต้นนั้น ไม่เป็นความจริง เนื่องจาก OR หรือ บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน) ไม่ได้มีส่วนเกี่ยวข้องกับการดำเนินการดังกล่าว รวมถึงไม่มีนโยบายเสนอขายหุ้น และไม่ได้มีส่วนเกี่ยวข้องกับการจัดทำการประชาสัมพันธ์เพื่อเชิญชวนให้ลงทุนในลักษณะนี้แต่อย่างใด
 
 
 
 
 
 
 
 ขอให้ประชาชนมีสติในการรับข้อมูลข่าวสาร และใช้ความระมัดระวังในการลงทุนผ่านช่องทางต่าง ๆ สำหรับผู้สนใจข้อมูลเกี่ยวกับ OR เพื่อประกอบการพิจารณาลงทุนสามารถศึกษาข้อมูลเพิ่มเติมได้จากลิงก์ https://investor.pttor.com/th/home
 
 
 
 เช็กให้ชัวร์ ก่อนลงทุนออนไลน์",บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน) กระทรวงพลังงาน,ข่าวปลอม,การเงิน-หุ้น,fake
23/07/2568 08:00:51,https://www.antifakenewscenter.com/?p=74577,กระทรวงยุติธรรม เปิดเพจเฟซบุ๊กชื่อ Technology Crime Suppression Center,"ระวังเพจปลอมแอบอ้างหน่วยงาน เพจเฟซบุ๊กชื่อ Technology Crime Suppression Center ไม่ใช่เพจของกระทรวงยุติธรรม มีลักษณะเป็นการแอบอ้างเพื่อสร้างความน่าเชื่อถือให้เสมือนเป็นเพจของกระทรวงยุติธรรมจริง ซึ่งเป็นการหลอกลวงประชาชนและเป็นการนําเสนอข้อมูลที่ไม่เป็นความจริง โดยกระทรวงยุติธรรมมีเพจเฟซบุ๊กเดียวเท่านั้น คือ กระทรวงยุติธรรม Ministry Of Justice, Thailand (https://www.facebook.com/mojthofficial)
 
 
 
 
 
 
 
 แชร์อย่างมีสติ ตรวจสอบก่อนส่งต่อ",สำนักงานปลัดกระทรวงยุติธรรม กระทรวงยุติธรรม,ข่าวปลอม,นโยบายรัฐบาล-ข่าวสาร,fake
23/07/2568 07:00:51,https://www.antifakenewscenter.com/?p=74573,"หุ้น OKJ เปิดเทรดวันแรก ราคาเปิดพอร์ตเริ่มต้น 1,000 บาท แนะนำโดยผู้บริหารตลาดหลักทรัพย์ฯ","เช็กข้อมูลให้ชัวร์ก่อนติดตาม เพจ “OH KAD” เป็นเพจปลอมที่ได้มีการแอบอ้างใช้ภาพผู้บริหารตลาดหลักทรัพย์แห่งประเทศไทย (SET) ไปใช้โดยไม่ได้รับอนุญาต โดยที่ตลาดหลักทรัพย์ฯ ไม่มีส่วนเกี่ยวข้องใด ๆ กับเพจดังกล่าว คาดว่า เป็นการกระทำของมิจฉาชีพที่สร้างเพจปลอมขึ้นมาเพื่อหวังหลอกลวงประชาชน ขอเตือนประชาชนอย่าหลงเชื่อเพจปลอม และโซเชียลมีเดียต่าง ๆ ที่มีการแอบอ้างชื่อและโลโก้ตลาดหลักทรัพย์ฯ เพื่อชักชวนให้เข้าเรียนหรือรับข้อมูลการลงทุน
 
 
 
 
 
 
 
 หากมีข้อสงสัยสามารถสอบถามโดยตรงได้ที่ SET Contact Center 0 2009 9999 หรืออีเมล SETContactCenter@set.or.th
 
 
 
 เพจแอบอ้าง อย่าหลงเชื่อลงทุนหรือให้ข้อมูลส่วนตัว",ตลาดหลักทรัพย์แห่งประเทศไทย,ข่าวปลอม,การเงิน-หุ้น,fake
23/07/2568 06:30:23,https://www.antifakenewscenter.com/?p=74569,"กรุงไทย เปิดให้จองสิทธิ์ยืมเงิน 100,000 บาท ลงทะเบียนได้ที่ TikTok ktb.thai","การปล่อยสินเชื่อ บนบัญชี TikTok ชื่อ ktb.thai เป็นบัญชีปลอม เพราะไม่ใช่บัญชีของธนาคารกรุงไทย เป็นการแอบอ้างใช้โลโก้ของธนาคารกรุงไทยโดยไม่ได้รับอนุญาต ขอประชาชนอย่าหลงเชื่อ และธนาคารไม่มีนโยบายปล่อยสินเชื่อผ่านบัญชี TikTok แต่อย่างใด หากพบเห็นการโฆษณาปล่อยสินเชื่อในลักษณะนี้ ขอให้สันนิษฐานไว้ก่อนว่า เป็นมิจฉาชีพ
 
 
 
 
 
 
 
 ระวัง! มิจฉาชีพแอบอ้างปล่อยสินเชื่อ",ธนาคารกรุงไทย กระทรวงการคลัง,ข่าวปลอม,การเงิน-หุ้น,fake
23/07/2568 03:30:03,https://www.antifakenewscenter.com/?p=74561,ก.ล.ต. เปิดเว็บไซต์ให้ผู้ลงทุนสะสมคะแนน,"ดูให้ดี เช็กให้ชัวร์ เนื่องจากมิจฉาชีพได้นำโลโก้ของ ก.ล.ต. ไปแอบอ้างใช้ประกอบบนเว็บไซต์ เพื่อสร้างความน่าเชื่อถือให้ผู้ลงทุนสนใจสมัครเข้าลงทุน ซึ่ง ก.ล.ต. ขอยืนยันว่า ไม่ได้มีส่วนเกี่ยวข้องแต่อย่างใด
 
 
 
 จึงขอให้ประชาชนใช้ความระมัดระวังในการลงทุน ควรศึกษาข้อมูลให้ดีก่อนทุกครั้ง โดยสามารถตรวจสอบรายชื่อผู้ที่ชักชวน/ผู้ให้บริการ ว่าได้รับอนุญาตจากสำนักงาน ก.ล.ต. หรือไม่ ได้ที่เว็บไซต์ www.sec.or.th/seccheckfirst หรือ ติดต่อสอบถามข้อมูลได้ที่สายด่วน โทร. 1207 กด 22
 
 
 
 
 
 
 
 ระวัง! กลลวงร้อยแปดหลอกลงทุนจากมิจฉาชีพ",สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์,ข่าวปลอม,การเงิน-หุ้น,fake
22/07/2568 12:54:45,https://www.antifakenewscenter.com/?p=74596,เตรียมรับมือ พายุวิภา เข้าไทย ศูนย์กลางผ่าน จ.น่าน ทำภาคเหนือ อีสาน กลาง เสี่ยงน้ำท่วม,"อย่าเพิ่งด่วนสรุป กรณีเกี่ยวกับประเด็นข้างต้นนั้น เป็นการให้ข้อมูลที่ไม่ได้มีที่มาจากกรมอุตุนิยมวิทยา และเป็นข้อความที่มาจากบุคคลที่ไม่มีหน้าที่รับผิดชอบหรือหน่วยงานที่แจ้งเตือนภัยธรรมชาติโดยตรง อาจทำให้เกิดความเข้าใจที่คลาดเคลื่อนได้
 
 
 
 
 
 
 
 ทั้งนี้ จากการติดตามและคาดการณ์ของกรมอุตุนิยมวิทยานั้น จุดแกนกลางพายุ วิภา ในขณะนี้มีศูนย์กลางอยู่บริเวณเมืองท้ายบิ่ญ ประเทศเวียดนาม ซึ่งมีแนวโน้มจะอ่อนกำลังลงเป็นพายุดีเปรสชันและหย่อมความกดอากาศต่ำตามลำดับ โดยหย่อมความกดอากาสต่ำนี้มีแนวโน้มจะเคลื่อนตัวตามแนวร่องมรสุมที่พาดผ่านประเทศลาวตอนบน ภาคเหนือตอนบน และประเทศเมียนมา
 
 
 
 เตือนภัยให้เร็วไว ข้อมูลนี้มั่นใจเชื่อถือได้",กรมอุตุนิยมวิทยา กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ข่าวปลอม,ภัยพิบัติ,fake
22/07/2568 12:28:54,https://www.antifakenewscenter.com/?p=74591,วันที่ 23 ก.ค. 68 จะเกิดปรากฏการณ์ Red Rain ถล่ม อ.เมือง จ.เชียงราย นานถึง 40 ชม.,"ข้อมูลข้างต้นเป็นข่าวปลอม! จากปรากฏการณ์ Red Rain ที่กล่าวอ้างมานั้น ในทางอุตุนิยมวิทยา ไม่มีปรากฏการณ์แบบในภาพ ซึ่งจากภาพที่แสดงมานั้นเป็นพื้นที่ฝนตกหนักถึงหนักมาก สีออกแดงถึงม่วง 
 
 
 
 อย่างไรก็ตาม จากการติดตามแบบจำลองอุตุนิยมวิทยา พบว่า มีพื้นที่เสี่ยงกับฝนตกหนักถึงหนักมากบริเวณภาคเหนือได้ ในวันที่ 22-23 ก.ค. 68 เท่านั้น
 
 
 
 
 
 
 
 ขอให้ประชาชนติดตามข่าวพยากรณ์อากาศ และประกาศเตือนภัยจากกรมอุตุนิยมวิทยาเท่านั้น เพื่อมิให้เกิดความสับสนและตื่นตระหนกขึ้นในสังคม และหากมีสงสัยหรือต้องการข้อมูลเพื่อเติม สามารถสอบถามได้ที่เว็บไซต์กรมอุตุนิยมวิทยา https://www.tmd.go.th, Facebook กรมอุตุนิยมวิทยา Application Thai weatherสายด่วน 1182 (ตลอด 24 ชั่วโมง)
 
 
 
 เช็กแล้วชัวร์ AFNC ตรวจสอบให้",กรมอุตุนิยมวิทยา กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ข่าวปลอม,ภัยพิบัติ,fake
22/07/2568 09:30:05,https://www.antifakenewscenter.com/?p=74468,"ออมสินเปิดสินเชื่อให้ยืม ผ่านเพจ LEASE it PCL 3897 วงเงินสูงสุด 1,000,000 บาท","อย่าหลงเชื่อ! ข้อความเชิญชวนลงทะเบียนยื่นขอสินเชื่อ โดยระบุว่า สินเชื่อออมสินเปิดให้บริการยืมรับยอดทันทีภายในวันที่ทำรายการเสร็จ ให้วงเงินขั้นต่ำ 10,000 บาท สูงสุด 1,000,000 บาท นั้น เป็นข้อมูลเท็จ เพราะธนาคารออมสิน ไม่มีบริการสินเชื่อดังกล่าว และเพจเฟซบุ๊ก LEASE it PCL 3897 นั้นไม่มีความเกี่ยวข้องใด ๆ กับธนาคารออมสิน ทั้งนี้ หากประชาชนต้องการสอบถามข้อมูลเพิ่มเติม สามารถติดต่อได้ที่เบอร์ 02 299 8000
 
 
 
 
 
 
 
 สินเชื่อด่วน วงเงินสูง อาจเป็นกลโกงมิจฉาชีพ",ธนาคารออมสิน กระทรวงการคลัง,ข่าวปลอม,การเงิน-หุ้น,fake
22/07/2568 09:00:37,https://www.antifakenewscenter.com/?p=74547,กยศ. เร่งคืนเงินให้ผู้กู้ยืมที่ถูกหักเงินซ้ำซ้อน,"กรณีที่มีเรื่องร้องเรียนจากผู้กู้ยืมที่ถูกหักเงินในบัญชีเงินฝากออมทรัพย์เมื่อวันที่ 18 กรกฎาคม 2568 ซึ่งผู้กู้ยืมบางรายได้ชําระหนี้ปกติตามงวดรายปีหรือชําระหนี้เกินกว่างวดที่ต้องชําระแล้วนั้น กยศ. ได้ตรวจสอบสาเหตุพบว่า เกิดจากความคลาดเคลื่อนของระบบการคํานวณหนี้ใหม่ การหักบัญชีเงินฝากของผู้กู้ยืมเงินเพื่อชําระเงินคืนแบบอัตโนมัติ (Auto Debit) เฉพาะผู้กู้ยืมที่ กยศ. คํานวณหนี้ใหม่แล้วยังมียอดหนี้ค้างชําระ
 
 
 
 
 
 
 
 โดยระบบได้ดําเนินการหักเงินตามยอดหนี้ที่คํานวณคลาดเคลื่อนนั้น ส่งผลให้เกิดการหักซ้ําซ้อนในบางราย หรือหักเงินเกินยอดที่จะต้องชําระ ทั้งนี้ กยศ. จะเร่งดําเนินการคืนเงินที่หักเกินพร้อมคืนค่าธรรมเนียมการโอนเงินเข้าบัญชีเดิมของผู้กู้ยืม โดยอัตโนมัติให้เร็วที่สุด (ภายใน 3 วัน) หลังจากได้รับการตรวจสอบร่วมกับผู้พัฒนาระบบแล้ว และขอให้ความมั่นใจว่า จะดําเนินการอย่างถี่ถ้วน เพื่อไม่ให้ผู้ที่ได้รับผลกระทบในครั้งนี้ต้องเสียประโยชน์ พร้อมหาเครื่องมือมาช่วยในการตรวจสอบข้อมูลเพื่อป้องกันไม่ให้เกิดเหตุการณ์ดังกล่าวขึ้นอีก",กองทุนเงินให้กู้ยืมเพื่อการศึกษา (กยศ.) กระทรวงการคลัง,ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร,true
22/07/2568 07:00:38,https://www.antifakenewscenter.com/?p=74537,ผู้ป่วยโรคฝีดาษในประเทศไทยลดน้อยลงในปี 2568,"สถานการณ์โรคฝีดาษวานรประเทศไทย ข้อมูลจากกองระบาดวิทยา ณ วันที่
 
 6 กรกฎาคม 2568 พบผู้ป่วยสะสมตั้งแต่ปี 2565 - 2568 จำนวน 908 ราย พบผู้เสียชีวิตสะสม จำนวน 13 ราย ช่องทางการสัมผัสเชื้อส่วนใหญ่เกิดจากการมีเพศสัมพันธ์ ร้อยละ 68.24 ส่วนในปี 2568 พบผู้ติดเชื้อรายใหม่จำนวน 42 ราย และยังไม่พบผู้เสียชีวิต
 
 
 
 
 
 
 
 แม้ว่าสถานการณ์การแพร่ระบาดของโรคฝีดาษวานรในประเทศไทยจะลดลงเป็นอย่างมาก แต่ยังพบการแพร่ระบาดในต่างประเทศ โดยเฉพาะประเทศแถบแอฟริกา จึงแนะนำผู้มีประวัติเดินทางจากประเทศแถบแอฟริกา ให้หมั่นสังเกต ถ้ามีอาการไข้ เจ็บคอ ปวดศีรษะปวดเมื่อยกล้ามเนื้อ ปวดหลัง หรือเริ่มสังเกตเห็นมีผื่นขึ้นตามร่างกาย เป็นตุ่มน้ำใสหรือตุ่มหนอง ควรไปพบแพทย์ เพื่อการวินิจฉัยรักษาตั้งแต่ต้น",กรมควบคุมโรค กระทรวงสาธารณสุข,ข่าวจริง,ผลิตภัณฑ์สุขภาพ,true
